ticker,valor_actual,variacion,volumen
CULP,$5.20,0.00,5279
CURI,$0.9759,84,119285
CURIW,$0.032,-203,7696
CURO,$1.63,0.05,80070
CURV,$3.73,0.17,84575
CUTR,$20.51,-0.04,509451
CUZ,$21.27,0.50,1012979
CVAC,$8.24,0.83,867657
CVBF,$12.23,0.27,2907150
CVCO,$301.20,8.59,32202
CVCY,$13.46,0.00,60217
CVE,$15.92,0.67,5747639
CVEO,$20.19,0.68,39857
CVGI,$10.10,0.94,622319
CVGW,$31.26,0.23,79608
CVI,$23.94,0.69,1223824
CVII,$10.19,25,3416803
CVKD,$1.38,0.06,32921
CVLG,$38.92,0.35,60311
CVLT,$61.15,0.30,339082
CVLY,$16.55,0.09,17220
CVM,$2.43,0.05,99420
CVNA,$8.96,1.76,79286659
CVR,$27.50,1.49,4916
CVRX,$12.61,-0.04,65090
CVS,$70.68,1.89,10647120
CVT,$8.46,0.02,3968204
CVU,$3.34,528,5777
CVV,$11.29,0.51,13477
CVX,$160.21,3.99,5801471
CW,$163.45,01.04,270756
CWAN,$14.36,-0.26,508872
CWBC,$11.16,1.099,6952
CWBR,$1.7001,-99,9529
CWCO,$17.665,575,43282
CWEN,$30.33,0.99,1215157
CWH,$24.84,1.21,1412830
CWK,$7.98,-0.96,8577093
CWST,$90.73,1.67,188602
CWT,$57.03,0.11,189929
CX,$6.61,0.26,7452995
CXAC,$10.53,-0.01,17328
CXAI,$10.47,-0.21,663363
CXAIW,$0.1725,-16,40693
CXDO,$1.65,0.14,39220
CXE,$3.49,0.01,56615
CXH,$7.35,-0.01,11495
CXM,$11.21,0.01,495392
CXT,$47.94,1.26,477688
CXW,$8.72,0.35,922968
CYAD,$0.619,-609,44412
CYAN,$0.9703,-98,9851
CYBN,$0.32,3,1316247
CYBR,$132.88,6.99,894218
CYCC,$0.5201,42,55616
CYCCP,$18.80,0.92,5288
CYCN,$0.2829,66,51591
CYD,$7.50,0.01,9310
CYH,$3.66,0.07,1879778
CYN,$0.95,-199,130989
CYRX,$23.89,2.88,796875
CYT,$2.21,0.01,15058
CYTH,$1.296,-44,69089
CYTK,$39.44,0.15,1882665
CYTO,$1.02,-0.09,2457125
CYXT,$0.229,569,4482493
CZFS,$88.00,2.11,6311
CZNC,$18.10,0.46,23028
CZOO,$1.58,0.10,247728
CZR,$44.68,1.32,3892162
CZWI,$8.76,0.00,11488
D,$56.49,-0.08,4139380
DAC,$56.51,02.05,151197
DADA,$5.82,0.26,2361731
DAIO,$4.32,-0.06,12922
DAKT,$5.04,0.14,285994
DAL,$33.94,0.86,8694384
DALN,$4.44,0.06,48944
DALS,$10.17,-0.03,19917
DAN,$14.13,0.76,1403118
DAO,$6.53,0.41,216471
DAR,$57.69,2.49,1221536
DARE,$1.00,79,93564
DASH,$62.90,0.07,9164609
DATS,$0.3502,-297,51452
DATSW,$0.0671,117,437
DAVA,$52.14,-3.47,570659
DAVE,$5.03,-0.12,56557
DAVEW,$0.0288,57,63782
DAWN,$13.68,0.10,438305
DB,$10.67,0.39,3816139
DBD,$0.4191,591,5771125
DBGI,$1.03,574,669072
DBGIW,$1.44,0.00,18
DBI,$7.83,0.38,990579
DBL,$14.71,0.32,29416
DBRG,$11.02,0.34,1386388
DBRG^H,$20.05,0.83,5642
DBRG^I,$19.87,0.84,6702
DBRG^J,$19.95,0.40,9626
DBTX,$3.37,-0.10,20827
DBVT,$1.65,0.09,45035
DBX,$21.31,1.69,7564397
DC,$3.81,0.35,357994
DCBO,$36.15,0.53,17645
DCF,$7.85,-0.01,62897
DCFC,$1.00,98,2373583
DCFCW,$0.295,-35,313389
DCGO,$8.41,-0.10,474769
DCI,$64.50,0.97,346434
DCO,$48.76,0.57,78140
DCOM,$18.21,0.52,230051
DCOMP,$14.50,2.837,15531
DCP,$41.49,0.02,327699
DCP^B,$24.98,0.22,15962
DCP^C,$24.98,0.08,1103
DCPH,$13.52,0.24,635621
DCTH,$6.04,0.03,16163
DD,$65.51,1.45,2639566
DDD,$9.13,0.40,971170
DDI,$8.485,3.451,11758
DDL,$4.00,-0.02,273172
DDOG,$76.57,1.17,8547214
DDS,$297.03,13.07,201969
DDT,$25.60,0.15,4162
DE,$381.09,7.50,1862616
DEA,$14.22,0.01,990873
DECA,$10.54,0.00,8566
DECAU,$10.69,0.00,231
DECK,$485.24,6.47,204580
DEI,$12.09,0.58,2977693
DELL,$45.39,1.21,3699646
DEN,$88.96,4.34,851449
DENN,$10.70,0.01,468521
DEO,$187.76,0.75,220437
DERM,$1.5499,-1,14434
DESP,$5.61,0.34,201690
DFFN,$3.81,0.01,3843
DFH,$16.13,0.73,96536
DFIN,$42.45,-0.01,329208
DFLI,$4.98,-0.02,68544
DFLIW,$0.20,0.01,6000
DFP,$16.72,0.21,53283
DFS,$95.96,3.52,1675561
DG,$218.95,2.38,1227064
DGHI,$1.73,0.08,33930
DGICA,$14.48,0.20,24571
DGICB,$14.69,0.00,76
DGII,$31.49,-0.62,326596
DGLY,$3.38,525,6666
DGX,$136.51,1.10,1059258
DH,$10.21,0.31,1476712
DHAC,$11.235,0.00,1
DHACU,$10.83,0.00,4
DHACW,$0.0975,-125,402
DHC,$0.8812,247,923998
DHCA,$10.21,0.00,9
DHCNI,$10.70,0.05,24447
DHCNL,$11.61,0.11,18087
DHF,$2.20,0.02,177702
DHI,$108.12,0.90,2456307
DHIL,$161.95,4.26,8313
DHR,$242.44,0.11,2061636
DHT,$8.45,0.19,3307757
DHX,$3.40,0.04,137510
DHY,$1.91,0.02,201160
DIAX,$14.77,0.12,74897
DIBS,$3.90,0.17,132688
DICE,$38.00,1.00,629619
DIN,$64.80,-0.34,296682
DINO,$38.38,0.12,3809763
DIOD,$86.04,2.72,180937
DIS,$100.52,03.07,9287622
DISA,$10.07,0.00,27
DISAW,$0.0801,0.00,16153
DISH,$7.12,0.47,13965384
DIST,$10.32,0.00,62
DISTR,$0.1937,637,189
DISTW,$0.0328,0.00,1001
DIT,$180.02,-3.50,1596
DJCO,$274.96,01.04,1202
DK,$20.83,1.21,1962525
DKDCA,$10.74,-499,262
DKDCW,$0.0351,-24,502
DKL,$44.16,-0.34,28076
DKNG,$24.58,3.27,34728336
DKS,$141.60,0.69,686448
DLA,$11.14,-0.06,18775
DLB,$84.69,2.87,360956
DLHC,$10.35,0.02,44144
DLNG,$2.59,0.04,35932
DLNG^A,$23.00,-0.16,5272
DLNG^B,$23.48,0.17,3012
DLO,$13.82,0.32,3086828
DLPN,$2.18,0.11,46525
DLR,$96.42,0.54,2142751
DLR^J,$21.41,0.26,6736
DLR^K,$23.97,-894,214058
DLR^L,$21.05,0.10,26902
DLTH,$5.65,0.09,62268
DLTR,$155.47,3.795,1971035
DLX,$14.41,0.61,307056
DLY,$14.20,0.40,270052
DM,$1.75,-0.03,10047136
DMA,$5.69,-0.01,28238
DMAC,$1.66,-0.01,9003
DMAQ,$10.72,-0.18,516
DMAQR,$0.17,-1,502
DMB,$10.99,0.11,59381
DMF,$6.28,0.02,108767
DMLP,$28.98,1.16,69524
DMO,$10.70,0.06,57624
DMRC,$19.49,1.14,69599
DMS,$0.6097,143,20019
DMTK,$2.31,-0.84,2491201
DMYY,$10.25,0.00,1100
DNA,$1.27,0.05,13570656
DNAB,$10.27,-2,2564
DNAD,$10.28,0.01,1490
DNB,$10.95,0.57,2911881
DNLI,$26.52,0.04,536624
DNMR,$3.28,0.20,606013
DNN,$1.06,0.03,2650185
DNOW,$9.46,-0.03,818223
DNP,$10.69,0.13,387800
DNUT,$14.97,0.21,610509
DO,$11.51,0.48,1222100
DOC,$14.52,0.07,2653432
DOCN,$32.81,0.65,1501298
DOCS,$34.10,-0.23,1456796
DOCU,$48.73,1.19,2331250
DOGZ,$1.00,0.16,2009097
DOLE,$12.11,-0.09,628630
DOMA,$0.4124,225,387234
DOMH,$3.14,0.03,9345
DOMO,$14.12,-0.15,395827
DOOO,$74.10,1.97,225309
DOOR,$89.72,2.46,82714
DORM,$88.39,3.55,79134
DOUG,$2.88,0.27,600905
DOV,$144.51,2.56,608684
DOW,$54.41,01.05,4145272
DOX,$89.65,0.08,430695
DOYU,$1.11,0.00,421931
DPCS,$10.52,0.04,14682
DPCSW,$0.03,-15,7000
DPG,$12.54,0.24,42316
DPRO,$0.9988,488,182180
DPSI,$6.902,182,11282
DPZ,$311.11,-0.30,493810
DQ,$44.73,2.84,866904
DRCT,$2.94,-0.21,22349
DRCTW,$0.70,-0.02,100
DRD,$13.11,0.24,1131706
DRH,$8.48,0.06,5119633
DRH^A,$25.72,0.03,654
DRI,$153.09,0.17,1225539
DRIO,$3.82,0.17,125455
DRMA,$1.73,0.15,380794
DRMAW,$0.026,-33,3210
DRQ,$26.70,0.51,146196
DRRX,$4.34,0.10,188066
DRS,$15.73,0.38,396240
DRTS,$2.96,0.14,23626
DRTSW,$0.22,-0.02,1800
DRTT,$0.37,0.00,11844
DRUG,$0.5841,-159,44117
DRVN,$28.20,-0.71,632548
DSAQ,$10.54,0.00,1000
DSEY,$8.22,0.07,2057521
DSGN,$7.58,0.00,439090
DSGR,$47.61,0.93,19778
DSGX,$76.34,2.54,159697
DSKE,$7.60,-0.13,299832
DSL,$11.84,0.25,472302
DSM,$5.71,0.01,126314
DSP,$4.24,0.17,24312
DSS,$0.216,-21,50347
DSU,$9.73,0.10,90902
DSWL,$2.71,-0.01,1370
DSX,$3.75,0.24,556726
DSX^B,$25.35,-0.10,2678
DT,$43.96,0.31,2907794
DTB,$20.09,0.33,4566
DTC,$7.13,-0.27,372338
DTE,$113.36,0.68,823186
DTF,$10.92,0.01,3825
DTG,$20.76,0.31,14032
DTIL,$0.85,251,488178
DTM,$46.92,1.46,717210
DTOC,$10.22,0.00,104
DTOCW,$0.10,12,239948
DTSS,$1.1264,35,7666
DTST,$1.79,0.09,11059
DTW,$23.54,0.41,19733
DUET,$10.45,0.04,1513
DUK,$99.36,1.25,2588889
DUK^A,$25.42,0.22,37076
DUKB,$24.92,0.28,36353
DUNE,$9.97,0.09,12441
DUNEU,$9.95,0.07,2148
DUNEW,$0.0213,-37,34205
DUO,$1.0197,97,28563
DUOL,$123.56,3.90,669462
DUOT,$3.73,-0.02,4948
DV,$26.89,0.23,696808
DVA,$88.47,1.26,590507
DVAX,$11.27,0.36,1603443
DVN,$50.36,2.12,8310621
DWAC,$12.92,-0.06,126256
DWACU,$14.04,0.11,344
DWACW,$2.82,0.05,11524
DWSN,$2.01,0.05,1548
DX,$10.93,0.23,787685
DX^C,$21.02,0.00,12197
DXC,$22.69,0.45,2038732
DXCM,$120.82,3.40,2170190
DXF,$0.262,96,2886274
DXLG,$4.49,0.16,462460
DXPE,$24.61,0.54,56352
DXR,$11.97,0.37,930
DXYN,$0.83,0.05,48363
DY,$95.40,4.12,494625
DYAI,$1.65,-0.05,15618
DYN,$13.97,1.87,653467
DYNT,$1.41,0.02,4136
DZSI,$6.62,0.02,106069
E,$30.01,1.36,197423
EA,$125.42,1.41,2806518
EAC,$10.36,0.00,3
EACPW,$0.03,0.01,300
EAD,$6.39,0.08,137292
EAF,$4.27,0.06,1281778
EAI,$23.19,0.35,7332
EAR,$5.30,0.10,13787
EARN,$6.93,0.09,60213
EAST,$0.1751,-49,217140
EAT,$38.05,-0.95,1065825
EB,$6.46,0.15,2147933
EBAY,$45.63,1.25,5206443
EBC,$10.90,0.30,2103896
EBET,$0.3089,-83,202224
EBF,$19.45,0.27,102925
EBIX,$15.85,-0.06,267026
EBMT,$12.42,0.37,6958
EBON,$6.05,-0.04,9624
EBR,$6.90,0.13,1284353
EBS,$8.96,0.42,956629
EBTC,$27.74,0.84,26959
EC,$9.20,0.54,2467585
ECAT,$15.61,0.29,258123
ECBK,$11.19,0.73,29394
ECC,$11.50,0.12,226654
ECC^D,$20.30,0.05,840
ECCC,$21.3995,3.495,554
ECCV,$21.74,0.00,2342
ECCW,$22.75,0.55,1928
ECCX,$23.77,0.70,1021
ECF,$7.95,-0.05,29271
ECF^A,$23.6872,-2.527,400
ECL,$173.67,1.31,959566
ECOR,$5.76,0.06,6981
ECPG,$48.57,1.63,215561
ECVT,$10.60,-0.03,1675822
ECX,$5.22,0.14,121532
ECXWW,$0.096,16,5000
ED,$99.49,0.97,2218632
EDAP,$11.92,0.52,90161
EDBL,$1.77,-201,854812
EDBLW,$0.077,0.00,103
EDD,$4.77,0.05,225226
EDF,$4.19,-0.01,40983
EDI,$5.15,786,19899
EDIT,$9.77,01.05,4447241
EDN,$8.985,-125,16927
EDR,$25.10,0.37,1544112
EDRY,$15.38,0.37,7729
EDSA,$1.06,-0.03,113929
EDTK,$1.68,0.05,11172
EDTX,$11.22,0.00,2
EDTXW,$0.029,1,100
EDU,$41.32,0.42,1689482
EDUC,$1.9199,1.099,15787
EE,$21.04,01.03,183175
EEA,$8.65,0.10,7069
EEFT,$110.25,4.29,230793
EEIQ,$1.45,0.15,2486
EEX,$3.58,0.15,67311
EFC,$12.05,0.27,769295
EFC^A,$19.65,0.30,8052
EFC^B,$17.84,0.33,846
EFC^C,$20.80,0.55,2418
EFHT,$10.27,0.00,10454
EFHTR,$0.11,0.00,8
EFOI,$0.4665,267,64562
EFR,$11.37,0.09,73106
EFSC,$39.35,1.74,224501
EFSCP,$15.05,0.74,6970
EFSH,$0.724,195,3725
EFT,$11.41,0.01,75495
EFTR,$0.4894,-105,74941
EFTRW,$0.14,-36,1050
EFX,$200.11,2.87,455628
EFXT,$6.23,0.21,95187
EGAN,$7.34,0.14,37979
EGBN,$20.62,0.35,347709
EGF,$10.00,0.13,232
EGGF,$10.22,0.00,820771
EGHT,$2.76,0.18,1644043
EGIO,$0.5756,326,683714
EGLE,$41.64,0.17,503450
EGLX,$0.5066,88,517307
EGO,$11.99,0.07,1668252
EGP,$171.55,2.40,229025
EGRX,$28.65,0.28,71060
EGY,$4.27,0.16,1189212
EH,$11.17,0.00,268601
EHAB,$13.24,0.28,552455
EHC,$62.46,-0.45,432240
EHI,$7.45,0.17,36579
EHTH,$6.29,0.41,415832
EIC,$14.67,-0.11,14777
EICA,$23.7999,0.00,4
EIG,$38.81,-0.42,106738
EIGR,$1.13,-0.02,136023
EIM,$10.21,0.07,114953
EIX,$73.56,01.07,1569747
EJH,$0.28,-199,1146376
EKSO,$1.60,559,29081
EL,$203.54,2.54,3312337
ELA,$6.73,0.23,27454
ELAN,$9.31,0.37,4286821
ELBM,$1.87,0.03,18880
ELC,$23.38,0.47,9032
ELDN,$2.68,0.16,500858
ELEV,$3.95,0.45,131815
ELF,$88.39,-1.03,1111680
ELLO,$15.45,1.21,1502
ELMD,$11.25,0.37,11086
ELME,$16.58,0.17,601970
ELOX,$5.25,-0.96,57491
ELP,$7.67,0.03,220857
ELS,$69.18,1.21,574014
ELSE,$4.53,0.00,8
ELTK,$4.0346,1.145,3822
ELV,$464.47,7.78,800259
ELVN,$19.64,0.96,114411
ELYM,$3.39,0.18,1457
ELYS,$0.505,-5,83341
EM,$1.00,-0.01,38717
EMAN,$1.70,0.09,306710
EMBC,$29.16,0.64,383177
EMBK,$2.85,0.19,175592
EMBKW,$0.016,-52,82078
EMCG,$10.48,0.00,5
EMCGW,$0.025,-11,100
EMD,$8.66,0.02,84219
EME,$167.88,2.61,232187
EMF,$11.46,1.503,11895
EMKR,$1.06,-0.05,471946
EML,$17.10,0.30,2594
EMLD,$10.26,0.00,1565
EMLDU,$10.30,0.01,100
EMLDW,$0.1098,97,104
EMN,$80.95,2.11,758408
EMO,$27.26,0.74,14769
EMP,$23.18,0.11,8541
EMR,$84.40,1.66,3884799
EMX,$2.08,55,242160
ENB,$39.91,0.64,3219754
ENCPW,$0.085,75,10000
ENER,$10.315,0.00,201
ENERR,$0.0701,-352,2308
ENERW,$0.04,-5,1154
ENFN,$8.65,0.11,345590
ENG,$0.44,196,479324
ENIC,$2.92,0.12,1307194
ENJ,$23.90,393,1602
ENLC,$8.82,0.35,2221070
ENLT,$17.46,0.32,53169
ENLV,$2.74,-0.05,6140
ENO,$24.1775,2.375,2284
ENOB,$1.25,0.04,22022
ENOV,$57.43,-0.11,732631
ENPH,$159.65,4.23,3401122
ENR,$32.74,0.59,575198
ENS,$84.39,3.17,167665
ENSC,$3.39,-0.11,64592
ENSG,$92.48,0.09,340402
ENSV,$0.4052,112,208925
ENTA,$36.02,-0.28,178432
ENTF,$10.57,0.00,10
ENTFU,$10.6734,1.634,100
ENTFW,$0.0656,0.00,14
ENTG,$78.77,04.08,2072531
ENTX,$0.8201,-589,16961
ENTXW,$0.0175,-171,1163
ENV,$55.74,-5.12,973028
ENVA,$43.31,1.15,176904
ENVB,$2.04,0.12,25727
ENVX,$12.64,0.87,5030770
ENX,$9.71,0.10,46140
ENZ,$2.57,-0.07,98295
EOCW,$10.30,0.00,21
EOD,$4.28,0.07,71557
EOG,$114.17,2.86,6165453
EOI,$15.81,0.30,25345
EOLS,$8.50,0.19,350276
EOS,$16.30,0.25,89864
EOSE,$2.03,0.19,4988310
EOSEW,$0.95,987,19870
EOT,$17.31,0.08,21131
EP,$9.16,-0.10,20337
EP^C,$46.1136,2.936,1830
EPAC,$23.69,0.56,364622
EPAM,$242.47,-27.94,1495634
EPC,$42.80,-0.40,495786
EPD,$25.60,0.33,4312405
EPIX,$2.97,0.03,11568
EPM,$6.38,0.15,132543
EPOW,$1.84,-0.03,11611
EPR,$42.30,0.12,297637
EPR^C,$19.54,0.09,10474
EPR^E,$27.1092,2.092,3657
EPR^G,$19.03,0.08,5593
EPRT,$25.22,0.04,696397
EPSN,$5.15,0.15,75217
EQ,$0.53,-101,242836
EQBK,$21.64,0.20,77853
EQC,$20.82,0.12,973535
EQC^D,$25.05,0.00,6313
EQH,$24.03,01.04,4101443
EQH^A,$18.98,0.16,60346
EQH^C,$15.35,0.26,37224
EQIX,$740.00,10.66,431304
EQNR,$29.54,1.81,3257113
EQR,$63.38,0.90,1264632
EQRX,$1.85,0.09,2096955
EQRXW,$0.1634,101,463
EQS,$1.56,-0.01,3953
EQT,$32.35,1.31,5568060
EQX,$5.68,0.07,2258656
ERAS,$2.92,0.06,466141
ERC,$9.06,0.05,45517
ERES,$10.2801,0.00,305
ERESW,$0.25,0.00,5333
ERF,$14.61,0.68,1237694
ERH,$10.6299,1.099,9610
ERIC,$5.42,0.10,7360015
ERIE,$228.03,3.17,63824
ERII,$24.21,0.94,484036
ERJ,$13.28,-0.24,3331950
ERNA,$3.14,-0.08,7675
ERO,$20.54,0.74,108850
ERYP,$0.71,0.01,3083
ES,$77.44,0.72,1336408
ESAB,$60.63,1.87,152897
ESAC,$10.72,0.00,76156
ESACU,$10.0901,0.00,10
ESCA,$15.74,0.30,17666
ESE,$97.17,3.19,59557
ESEA,$18.415,145,12786
ESGR,$248.00,7.93,37039
ESGRO,$23.775,295,3813
ESGRP,$22.22,0.56,13511
ESI,$18.13,0.50,769583
ESLT,$192.94,1.56,11909
ESMT,$16.00,-0.16,726883
ESNT,$42.62,1.59,592921
ESOA,$2.13,-0.02,16934
ESP,$21.45,0.44,3314
ESPR,$1.40,-0.01,1580551
ESQ,$38.56,2.22,28289
ESRT,$5.79,0.05,1036360
ESS,$220.00,3.40,283721
ESSA,$14.18,0.18,23661
ESTA,$67.70,0.80,122122
ESTC,$56.67,-0.05,640859
ESTE,$13.05,0.71,1623564
ET,$12.36,-0.25,13289212
ET^C,$23.965,15,23499
ET^D,$23.54,0.11,87587
ET^E,$23.21,0.51,33514
ETAO,$0.7431,-269,126611
ETB,$12.85,0.20,43236
ETD,$27.16,0.52,232414
ETG,$16.21,0.49,213552
ETI^,$23.709,139,1085
ETJ,$7.87,0.14,154401
ETN,$171.05,2.61,1914883
ETNB,$16.67,0.51,1479123
ETO,$22.14,0.24,35016
ETON,$3.60,0.04,11573
ETR,$107.36,1.26,741667
ETRN,$5.11,0.22,4035936
ETSY,$90.00,-2.55,6990426
ETV,$12.24,0.17,282445
ETW,$8.10,0.11,322567
ETWO,$4.62,0.23,2713692
ETX,$17.92,-0.02,15199
ETY,$11.62,0.18,153322
EU,$2.26,0.15,278520
EUDA,$1.45,-0.05,436958
EUDAW,$0.0855,4,1388
EURN,$15.84,0.30,1096529
EVA,$9.01,2.00,9282496
EVAX,$1.32,0.01,26049
EVBG,$23.86,0.85,521887
EVBN,$25.81,0.23,16264
EVC,$5.65,-0.22,596893
EVCM,$12.22,0.15,128006
EVE,$10.47,0.01,10510
EVER,$6.59,0.28,414511
EVEX,$7.41,-0.34,33202
EVF,$5.29,0.02,57954
EVG,$9.96,0.03,30558
EVGN,$0.58,0.01,29338
EVGO,$6.18,0.23,1367103
EVGOW,$0.7074,371,18910
EVGR,$10.60,0.03,1014
EVGRU,$10.50,0.00,67
EVGRW,$0.1399,638,15390
EVH,$34.01,0.46,1316399
EVI,$20.33,0.71,6980
EVLO,$0.1374,-59,1036238
EVLV,$3.84,0.27,1126007
EVLVW,$0.6301,588,44963
EVM,$8.88,0.02,72246
EVN,$10.11,75,48966
EVO,$9.425,-15,13931
EVOJ,$10.20,0.08,4288
EVOJU,$10.10,0.07,130
EVOJW,$0.0006,-204,133375
EVOK,$2.22,0.21,38223
EVR,$108.63,1.79,357400
EVRG,$62.59,0.41,1523621
EVRI,$15.13,0.35,1446275
EVT,$22.18,0.43,98405
EVTC,$34.00,-0.05,351838
EVTL,$1.83,0.03,182368
EVTV,$2.2545,445,6671
EVV,$9.38,0.02,357183
EW,$88.74,0.84,1567442
EWBC,$44.21,2.82,3549025
EWCZ,$18.11,0.52,149157
EWTX,$9.70,0.17,215459
EXAI,$5.21,0.17,157640
EXAS,$67.30,1.55,1728576
EXC,$42.85,0.29,3849846
EXEL,$19.48,0.00,1909403
EXFY,$7.46,0.27,189005
EXG,$7.79,0.14,430225
EXK,$4.21,0.01,2389595
EXLS,$157.04,-6.95,344465
EXP,$160.08,3.68,546357
EXPD,$117.67,0.71,1424405
EXPE,$93.54,4.37,7073255
EXPI,$13.20,0.52,892477
EXPO,$89.32,01.09,223820
EXPR,$0.8461,369,496016
EXR,$154.74,3.95,1586914
EXTR,$16.45,0.02,1205649
EYE,$22.40,0.16,1041002
EYEN,$4.60,-0.41,753207
EYPT,$6.54,-0.24,431342
EZFL,$2.24,0.25,34338
EZGO,$1.58,-0.11,19595
EZPW,$9.18,0.58,1192758
F,$11.99,0.43,64138755
F^B,$24.99,0.47,30440
F^C,$24.24,0.52,29006
F^D,$24.2672,5.272,49268
FA,$12.51,0.20,284387
FACT,$10.405,5,375
FAF,$58.29,1.23,402440
FAM,$5.90,0.01,10311
FAMI,$0.4846,-133,154394
FANG,$132.80,6.81,2272085
FANH,$7.91,0.01,8788
FARM,$2.73,0.00,90752
FARO,$13.75,0.44,698012
FAST,$54.66,0.64,2161388
FAT,$5.40,-0.15,15026
FATBB,$5.55,-0.70,8592
FATBP,$15.20,-0.05,7906
FATBW,$3.60,-0.10,362
FATE,$5.68,-0.49,3074396
FATH,$0.43,-0.03,240807
FATP,$10.58,199,16349
FATPU,$11.48,0.00,25
FATPW,$0.0749,149,2800
FAX,$2.74,0.02,924952
FAZE,$0.4995,196,208257
FAZEW,$0.035,-5,7834
FBIN,$63.85,1.45,780492
FBIO,$0.7325,-25,413934
FBIOP,$18.495,295,2627
FBIZ,$26.02,4.775,16831
FBK,$26.31,1.22,235720
FBMS,$25.60,1.59,229182
FBNC,$29.08,1.20,233359
FBP,$11.30,0.54,1532981
FBRT,$12.74,0.34,212624
FBRT^E,$18.82,0.12,9981
FBRX,$1.05,-0.01,21781
FC,$35.62,0.64,66589
FCAP,$23.16,0.01,465
FCBC,$23.98,0.69,38516
FCCO,$18.60,-0.02,14959
FCEL,$2.46,0.22,18252858
FCF,$12.26,0.51,885586
FCFS,$104.80,2.93,168730
FCN,$175.11,-2.03,290539
FCNCA,$1003.73,46.21,201403
FCNCO,$19.20,0.14,20406
FCNCP,$20.67,285,20690
FCO,$5.04,0.02,47797
FCPT,$26.15,0.27,401190
FCRX,$23.25,-0.39,1364
FCT,$9.64,0.04,71100
FCUV,$1.98,0.10,58063
FCX,$36.47,1.25,13539351
FDBC,$41.78,1.18,1668
FDEU,$13.17,0.21,131817
FDMT,$16.94,0.86,1974157
FDP,$27.00,0.49,315289
FDS,$405.85,10.84,240781
FDUS,$18.78,0.68,74386
FDX,$229.30,2.93,1157919
FE,$39.70,0.79,5792595
FEAM,$4.62,-0.03,145849
FEDU,$9.58,-1.22,1287
FEI,$7.51,0.13,103608
FEIM,$6.63,-0.02,4533
FELE,$95.31,1.62,202398
FEMY,$0.8612,-141,16383
FEN,$12.67,0.04,37675
FENC,$8.19,0.14,46191
FENG,$2.7099,-1.901,40889
FERG,$139.51,1.83,803822
FET,$21.69,0.94,46286
FEXD,$10.52,0.00,5
FEXDR,$0.1397,0.00,7
FEXDW,$0.035,0.00,121207
FF,$7.68,0.09,126670
FFA,$16.74,0.31,21948
FFBC,$19.67,0.73,355840
FFC,$13.07,0.07,117961
FFIC,$10.37,0.56,245414
FFIE,$0.2398,135,112332142
FFIEW,$0.072,15,123731
FFIN,$27.85,0.76,682459
FFIV,$133.22,02.09,462315
FFNW,$10.07,-0.57,24669
FFWM,$4.58,0.38,2111437
FG,$16.12,1.19,188152
FGB,$2.92,0.05,21334
FGBI,$12.49,0.78,22716
FGBIP,$17.91,0.64,3710
FGEN,$17.41,0.71,1897955
FGF,$2.369,1.072,651
FGFPP,$13.26,-6.256,183
FGH,$1.90,-0.13,19276
FGI,$1.79,93,13782
FGMC,$10.48,0.00,67276
FGMCW,$0.12,75,32704
FHB,$17.09,0.36,1004687
FHI,$39.00,-0.12,841074
FHLTU,$9.85,-0.31,100
FHN,$10.94,0.88,45327706
FHN^B,$17.58,1.51,162525
FHN^C,$18.00,1.79,26847
FHN^D,$17.70,1.24,173676
FHN^E,$17.985,1.885,98559
FHN^F,$13.80,1.80,181568
FHTX,$6.05,0.08,99980
FIAC,$10.47,0.02,423
FIACU,$10.44,0.04,101
FIACW,$0.04,-14,255
FIBK,$23.85,1.23,1469566
FICO,$731.98,-4.67,148259
FICV,$10.27,0.00,20055
FICVU,$10.735,0.00,1
FICVW,$0.1201,0.00,399
FIF,$14.21,0.30,12855
FIGS,$7.70,0.77,6568978
FINS,$11.95,-0.08,94468
FINV,$4.01,0.16,345458
FINW,$7.89,-0.24,44104
FIP,$3.10,0.00,365477
FIS,$55.75,2.52,4910412
FISI,$16.07,0.98,62668
FISV,$120.30,2.52,2163176
FITB,$24.92,1.68,12577936
FITBI,$24.26,0.65,59775
FITBO,$20.10,0.53,29977
FITBP,$21.60,0.30,27221
FIVE,$195.80,1.40,589541
FIVN,$55.59,-0.91,4935274
FIX,$151.87,3.88,464654
FIXX,$1.00,174,139314
FIZZ,$52.19,-1.33,157144
FKWL,$3.7699,399,1402
FL,$41.08,1.71,1323177
FLAG,$10.30,0.01,520
FLC,$13.91,0.21,46956
FLEX,$20.50,0.38,4430346
FLFV,$10.43,0.00,22
FLFVW,$0.02,-25,9500
FLGC,$0.1997,109,900340
FLGT,$33.93,5.41,717726
FLIC,$10.37,0.85,243955
FLJ,$0.94,1.201,124649
FLL,$6.39,-0.22,97767
FLME,$10.15,0.01,300
FLNC,$17.93,1.48,1634408
FLNG,$32.19,0.66,548096
FLNT,$0.72,0.01,77757
FLO,$28.44,-0.06,1242851
FLR,$27.21,-0.20,3454763
FLS,$35.37,0.92,625503
FLT,$231.19,7.59,811107
FLUX,$3.88,0.27,28381
FLWS,$7.92,0.41,787773
FLXS,$16.88,0.39,7254
FLYW,$28.76,0.53,775726
FMAO,$20.75,0.49,11619
FMBH,$23.83,0.70,42949
FMC,$113.49,1.60,816066
FMIV,$10.18,-0.02,2150
FMIVW,$0.1101,0.00,5119
FMN,$10.73,0.06,37035
FMNB,$11.40,0.32,111536
